n,identical_prime_pair,propE_base,propO_base,propI_base,propE_altA,propO_altA,propI_altA,propE_altB,propO_altB,propI_altB,propE_altC,propO_altC,propI_altC,collatz_steps,collatz_max,divergence_ratio,time_to_peak_ratio,log_n,mod3,mod4,mod6,mod12,mod30,center_distance_base,center_distance_altA,center_distance_altB,center_distance_altC,mag_bin,near_center
6182,0,0.06451612903225806,0.03225806451612903,0.9032258064516129,0.06451612903225806,0.0967741935483871,0.8387096774193549,0.03225806451612903,0.3548387096774194,0.6129032258064516,0.04838709677419355,0.0,0.9516129032258065,62,13912,2.250404399870592,0.06451612903225806,8.729397122692061,2,2,2,2,2,0.4961663646342634,0.4252440078132335,0.3292535625148498,0.5543133296518862,5001-10000,0
6184,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.24193548387096775,0.7258064516129032,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4928848641655885,0.7258064516129032,8.729720590267258,1,0,4,4,4,0.5223466222313529,0.5218234259068696,0.3527504534570465,0.5117810812545467,5001-10000,0
6186,0,0.016129032258064516,0.008064516129032258,0.9758064516129032,0.016129032258064516,0.7096774193548387,0.27419354838709675,0.04032258064516129,0.24193548387096775,0.717741935483871,0.717741935483871,0.0,0.28225806451612906,124,9280,1.5001616553507922,0.016129032258064516,8.730043953245016,0,2,0,6,6,0.5863563214394363,0.6255736181433498,0.34147107842179425,0.5117810812545467,5001-10000,0
6188,0,0.1388888888888889,0.027777777777777776,0.8333333333333334,0.1388888888888889,0.0,0.8611111111111112,0.1111111111111111,0.2777777777777778,0.6111111111111112,0.08333333333333333,0.0,0.9166666666666666,36,6964,1.125404007756949,0.1388888888888889,8.730367211692958,2,0,2,8,8,0.408323885000288,0.44312303561353933,0.23253832818284836,0.5104464277037851,5001-10000,0
6190,0,0.16666666666666666,0.05555555555555555,0.7777777777777778,0.16666666666666666,0.027777777777777776,0.8055555555555556,0.05555555555555555,0.2222222222222222,0.7222222222222222,0.1388888888888889,0.08333333333333333,0.7777777777777778,36,20896,3.375767366720517,0.16666666666666666,8.730690365678642,1,2,4,10,10,0.3402976184691901,0.3752365509059618,0.3311036539055853,0.3416553747004844,5001-10000,1
6192,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.24193548387096775,0.7258064516129032,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4909560723514212,0.7258064516129032,8.731013415269564,0,0,0,0,12,0.5223466222313529,0.5218234259068696,0.3527504534570465,0.5117810812545467,5001-10000,0
6194,0,0.20967741935483872,0.11290322580645161,0.6774193548387096,0.20967741935483872,0.6075268817204301,0.1827956989247312,0.016129032258064516,0.0967741935483871,0.8870967741935484,0.21505376344086022,0.10752688172043011,0.6774193548387096,186,190996,30.835647400710364,0.20967741935483872,8.731336360533149,2,2,2,2,14,0.2173054166851521,0.5242660550901888,0.49100122814039865,0.21735861653335167,5001-10000,1
6196,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.25806451612903225,0.7096774193548387,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4899935442220789,0.7258064516129032,8.73165920153676,1,0,4,4,16,0.5223466222313529,0.5218234259068696,0.344995437994842,0.5117810812545467,5001-10000,0
6198,0,0.18248175182481752,0.051094890510948905,0.7664233576642335,0.18248175182481752,0.34306569343065696,0.4744525547445255,0.029197080291970802,0.291970802919708,0.6788321167883211,0.1678832116788321,0.06569343065693431,0.7664233576642335,137,67048,10.817683123588255,0.18248175182481752,8.731981938347694,0,2,0,6,18,0.3270545455962876,0.18689837679883675,0.33730368498888474,0.3263043147647424,5001-10000,1
6200,0,0.7806451612903226,0.0064516129032258064,0.2129032258064516,0.7806451612903226,0.0,0.21935483870967742,0.03870967741935484,0.3935483870967742,0.567741935483871,0.7741935483870968,0.0,0.22580645161290322,155,9232,1.4890322580645161,0.7806451612903226,8.732304571033183,2,0,2,8,20,0.5923726082221428,0.5914232643610423,0.332148431646397,0.583130880085297,5001-10000,0
