n,collatz_steps,collatz_max,divergence_ratio,oscillation_count,time_to_peak_ratio,frac_up,mean_run_up,std_run_up,mean_run_down,std_run_down,prop_exploration,prop_optimization,prop_integration,identical_prime_pair,center_distance,symmetry_score,gravitational_pull
234,21,352,1.5042735042735043,10,0.09523809523809523,0.23809523809523808,1.0,0.0,2.6666666666666665,1.4907119849998598,0.09523809523809523,0.047619047619047616,0.8571428571428571,0,0.4389742733901529,0.19047619047619047,0.5565690207419793
236,34,304,1.2881355932203389,20,0.29411764705882354,0.29411764705882354,1.0,0.0,2.1818181818181817,1.1134044285378082,0.29411764705882354,0.029411764705882353,0.6764705882352942,0,0.2455133735848142,0.3529411764705882,0.7519940409517024
238,34,808,3.3949579831932772,20,0.17647058823529413,0.29411764705882354,1.0,0.0,2.1818181818181817,1.192261549873091,0.17647058823529413,0.058823529411764705,0.7647058823529411,0,0.3244372290150041,0.2941176470588236,0.6722689075630253
240,21,240,1.0,10,0.0,0.23809523809523808,1.0,0.0,2.6666666666666665,1.699673171197595,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
242,96,9232,38.14876033057851,68,0.6458333333333334,0.3541666666666667,1.0,0.0,1.7714285714285714,1.097678440702774,0.6458333333333334,0.14583333333333334,0.20833333333333334,0,0.4556360023820184,0.5,0.539738132804207
244,21,244,1.0,10,0.0,0.23809523809523808,1.0,0.0,2.6666666666666665,1.4907119849998598,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
246,47,628,2.5528455284552845,30,0.19148936170212766,0.3191489361702128,1.0,0.0,2.0,1.0606601717798212,0.19148936170212766,0.0425531914893617,0.7659574468085106,0,0.3275628483923338,0.276595744680851,0.669111555195714
248,109,9232,37.225806451612904,78,0.6880733944954128,0.3577981651376147,1.0,0.0,1.75,1.0665364503850772,0.6880733944954128,0.11926605504587157,0.1926605504587156,0,0.5015739891854324,0.4311926605504588,0.49333375854313244
250,109,9232,36.928,78,0.6880733944954128,0.3577981651376147,1.0,0.0,1.75,1.0665364503850772,0.6880733944954128,0.11926605504587157,0.1926605504587156,0,0.5015739891854324,0.4311926605504588,0.49333375854313244
252,109,9232,36.63492063492063,78,0.6880733944954128,0.3577981651376147,1.0,0.0,1.75,1.1124297730643495,0.6880733944954128,0.11926605504587157,0.1926605504587156,0,0.5015739891854324,0.4311926605504588,0.49333375854313244
