split,model_id,n,steps,pred,residual
train,12,398,120.0,60.395644406618196,59.604355593381804
train,12,400,27.0,39.76453847183823,-12.764538471838229
train,12,402,19.0,60.313397187025274,-41.313397187025274
train,12,404,27.0,53.270240881269224,-26.270240881269224
train,12,406,40.0,61.55777301782979,-21.55777301782979
train,12,408,27.0,46.54867388429474,-19.548673884294743
train,12,410,27.0,60.72015289427879,-33.72015289427879
train,12,412,89.0,53.11250451875932,35.88749548124068
train,12,414,89.0,60.63472375787944,28.365276242120558
train,12,416,14.0,34.72077103874075,-20.72077103874075
train,12,418,40.0,61.8759794699056,-21.8759794699056
train,12,420,40.0,53.3334188045717,-13.3334188045717
train,12,422,40.0,61.03529924246704,-21.03529924246704
train,12,424,14.0,46.990543315528726,-32.990543315528726
train,12,426,14.0,60.946868301886255,-46.946868301886255
train,12,428,102.0,53.93314722250507,48.06685277749493
train,12,430,102.0,62.18517885899843,39.81482114100157
train,12,432,115.0,40.648604483476724,74.35139551652327
train,12,434,27.0,61.3416085371939,-34.3416085371939
train,12,436,115.0,53.76289644514961,61.23710355485039
train,12,438,53.0,61.25034103293643,-8.250341032936433
train,12,440,115.0,47.990517261463204,67.0094827385368
train,12,442,115.0,62.48586708336215,52.51413291663785
train,12,444,71.0,53.97176017772024,17.028239822279758
train,12,446,71.0,61.63956289176833,9.360437108231672
train,12,448,22.0,28.16284725782897,-6.162847257828972
train,12,450,53.0,61.545610785716065,-8.545610785716065
train,12,452,14.0,54.55987657664691,-40.55987657664691
train,12,454,14.0,62.778500182343066,-48.778500182343066
train,12,456,35.0,47.826343756898574,-12.826343756898574
train,12,458,35.0,61.929606011687774,-26.929606011687774
train,12,460,35.0,54.37842879849503,-19.37842879849503
train,12,462,128.0,61.83310937274135,66.16689062725865
train,12,464,22.0,42.23543224772664,-20.235432247726642
train,12,466,84.0,63.063498496816734,20.936501503183266
train,12,468,22.0,54.57648868467868,-32.57648868467868
train,12,470,128.0,62.21214716902971,65.78785283097028
train,12,472,35.0,48.22249297325306,-13.222492973253061
train,12,474,35.0,62.11323538260238,-27.113235382602383
train,12,476,35.0,55.154174037418244,-20.154174037418244
train,12,478,53.0,63.34125030057258,-10.341250300572582
train,12,480,22.0,35.407141010789175,-13.407141010789175
train,12,482,22.0,62.48756467569907,-40.48756467569907
train,12,484,97.0,54.9626490405566,42.0373509594434
train,12,486,97.0,62.38635750326792,34.61364249673208
train,12,488,22.0,49.17990859144355,-27.17990859144355
train,12,490,22.0,63.61211498137918,-41.61211498137918
train,12,492,48.0,55.15096782899798,-7.1509678289979774
train,12,494,48.0,62.75620892949923,-14.75620892949923
train,12,496,110.0,42.23556350773441,67.76443649226559
train,12,498,48.0,62.65281743998037,-14.652817439980367
train,12,500,110.0,55.719231660746644,54.280768339253356
train,12,502,66.0,63.87642583712301,2.1235741628769915
train,12,504,110.0,48.97602134352264,61.02397865647736
train,12,506,110.0,63.018405094562304,46.981594905437696
train,12,508,48.0,55.51858924387527,-7.518589243875269
train,12,510,48.0,62.91293248567753,-14.91293248567753
train,12,512,9.0,0.3365851683213222,8.663414831678677
train,12,514,123.0,64.13449254159661,58.865507458403385
train,12,516,123.0,55.69808022106626,67.30191977893374
train,12,518,123.0,63.27445546757465,59.72554453242535
train,12,520,30.0,49.33502521199112,-19.335025211991123
train,12,522,30.0,63.16699779244199,-33.16699779244199
